q_id,question,category,formulation_type,difficulty,expected_doc_id,expected_chunk_quote,gold_answer,notes
Q031,Что дает победа во всеросе?,olympiads,casual,medium,D1,"победители и призеры заключительного этапа всероссийской олимпиады школьников","Победители и призеры заключительного этапа всероссийской олимпиады школьников получают право на прием БВИ по программам, соответствующим профилю олимпиады. Также — 100 баллов по предмету, если поступают на программу с другим профилем.",
Q032,Дает ли региональный этап ВсОШ что-нибудь?,olympiads,casual,medium,D3,"Региональный этап ВсОШ Победители и призеры 3","Региональный этап Всероссийской олимпиады школьников учитывается как индивидуальное достижение по ряду программ — обычно 3 балла к сумме конкурсных баллов.",
Q033,Какие индивидуальные достижения учитываются?,individual_achievements,formal,easy,D3,"Сумма баллов начисленных поступающему за индивидуальные достижения не может быть более 10 баллов","Учитываются: аттестат с отличием (3 балла), значок ГТО (2), волонтерство (2), статусы победителей конкурсов, спортивные звания, военная служба, олимпиады. Максимум суммарно — 10 баллов.",
Q034,Сколько баллов дают за золотой значок ГТО?,individual_achievements,formal,easy,D3,"Наличие золотого знака отличия Всероссийского физкультурно-спортивного комплекса Готов к труду и обороне ГТО 2 балла","За золотой значок ГТО дают 2 балла. Учитывается только в текущем или предшествующем году от возрастной группы поступающего.",
Q035,Сколько баллов за аттестат с отличием?,individual_achievements,formal,easy,D3,"аттестата о среднем общем образовании с отличием 3 балла","Аттестат с отличием (или медаль За особые успехи в учении) — 3 балла к сумме конкурсных баллов.",
Q036,Сколько баллов за волонтерство дают?,individual_achievements,formal,medium,D3,"Участие в добровольческой волонтерской деятельности 2 балла","Волонтерство дает 2 балла. Должно быть не менее 100 часов в году, подтверждено книжкой добровольца или системой dobro.ru.",
Q037,Какие документы нужны для подтверждения волонтерства?,individual_achievements,formal,medium,D3,"печатной личной книжкой добровольца волонтера","Подтверждение волонтерства: печатная личная книжка добровольца либо запись в электронной книжке в системе dobro.ru, не менее 100 часов в году.",
Q038,Какой максимум баллов за индивидуальные достижения?,individual_achievements,formal,easy,D3,"не может быть более 10 баллов","Максимальная сумма баллов за индивидуальные достижения — 10 баллов.",ключевой факт
Q039,Можно ли суммировать ГТО и аттестат с отличием?,individual_achievements,casual,medium,D3,"за один вид достижений независимо от их количества","За пункты 4-16 (включая ГТО и аттестат с отличием) баллы начисляются за один вид достижений — за тот, который дает наибольшее количество баллов. То есть нельзя получить 3+2=5, выберут одно из двух.",важный нюанс
Q040,Что лучше выбрать для ИД аттестат с отличием или ГТО?,individual_achievements,casual,medium,D3,"за один вид достижений независимо от их количества предоставляющий возможность засчитать наибольшее количество баллов","Аттестат с отличием дает 3 балла, ГТО — 2 балла. Выбирается одно достижение — то, что дает больше. Поэтому аттестат с отличием выгоднее.",
Q041,Сколько баллов за победу во всеросе как ИД?,individual_achievements,abbreviated,medium,D3,"Наличие статуса победителя заключительного этапа всероссийской олимпиады школьников 10 баллов","Победитель или призер заключительного этапа всероссийской олимпиады школьников как индивидуальное достижение — 10 баллов. Но это работает, только если результаты не используются для получения БВИ или 100 баллов.",
Q042,За олимпиады из перечня сколько ИД дают?,individual_achievements,abbreviated,medium,D3,"6 баллов","Олимпиады школьников из перечня дают 6 баллов как индивидуальное достижение, если не используются для БВИ или 100 баллов.",
Q043,Когда подавать документы для ИД?,individual_achievements,casual,medium,D1,"не позднее дня и времени завершения приема документов без сдачи вступительных испытаний","Документы по индивидуальным достижениям подаются не позднее дня завершения приема документов. Подача — по усмотрению поступающего.",
Q044,А военная служба считается?,individual_achievements,casual,medium,D3,"Прохождение военной службы по призыву 10 баллов","Да, прохождение военной службы по призыву или контракту, в том числе участие в СВО, дает 10 баллов как индивидуальное достижение.",
Q045,Сколько баллов за чемпиона России по спорту?,individual_achievements,formal,medium,D3,"чемпиона России победителя кубка России 10 баллов","Чемпион России, победитель кубка России по олимпийским/паралимпийским/сурдлимпийским видам спорта — 10 баллов.",
Q046,Что дает статус КМС?,individual_achievements,abbreviated,medium,D3,"кандидата в мастера спорта 5 баллов","КМС (кандидат в мастера спорта) — 5 баллов как индивидуальное достижение.",сокращение КМС
Q047,Какие скидки есть для платников?,discounts,casual,medium,D7,"скидки могут устанавливаться","ВШЭ предоставляет скидки до 100% по результатам вступительных испытаний, по итогам участия в олимпиадах, по итогам обучения в Лицее ВШЭ, ФДП, ФМШ. Размер зависит от категории и результата.",
Q048,Какой максимальный размер скидки в ВШЭ?,discounts,formal,easy,D7,"в размере 100% от стоимости обучения","Максимальная скидка — 100% от стоимости обучения. Например, победителям олимпиады Высшая проба по непрофильным предметам — 100% на первый год, 70% со второго.",
Q049,Какая скидка победителю Высшей пробы?,discounts,formal,medium,D7,"победителям олимпиады Высшая проба по предметам не входящим в перечень олимпиад школьников в размере 100% от стоимости обучения","Победитель олимпиады Высшая проба по предмету вне перечня олимпиад школьников: 100% скидки на первый год, 70% со второго года обучения.",
Q050,Какая скидка призеру Высшей пробы?,discounts,formal,medium,D7,"призерам олимпиады Высшая проба по предметам не входящим в перечень олимпиад школьников в размере 70% от стоимости обучения","Призер Высшей пробы по предмету вне перечня — 70% скидки от стоимости обучения.",
Q051,Какую скидку получит участник заключительного этапа всероса?,discounts,formal,medium,D7,"участникам заключительного этапа Всероссийской олимпиады школьников в размере 50% от стоимости обучения","Участникам заключительного этапа ВсОШ — 50% от стоимости обучения, при условии успешного прохождения всех вступительных и недобора 1-45 баллов до проходного.",
Q052,Скидка призеру регионального этапа ВсОШ какая?,discounts,formal,medium,D7,"победителям и призерам региональных этапов Всероссийской олимпиады школьников в размере 25% от стоимости обучения","Победители и призеры регионального этапа ВсОШ, не вошедшие в заключительный этап, получают 25% скидки.",
Q053,Сохранится ли скидка при переводе на другой факультет?,discounts,formal,hard,D7,"При переводе студента скидки не сохраняются","При переводе на другую программу или факультет скидки не сохраняются.",важный нюанс
Q054,До какого числа подавать заявление на скидку?,discounts,formal,medium,D7,"до 01 сентября года поступления в НИУ ВШЭ","Заявление на получение скидки подается до 1 сентября года поступления.",
Q055,Можно ли совмещать скидку и бюджет?,discounts,casual,medium,D7,"скидки за счет бюджета факультета могут суммироваться с одной из централизованных скидок","Скидка предоставляется только при обучении на платной основе. На бюджете скидка не нужна — обучение бесплатное.",ловушка вопроса
Q056,Что такое целевая квота?,admission_general,formal,medium,D1,"в пределах квоты приема на целевое обучение","Целевая квота — места для приема на целевое обучение по договору с заказчиком (например, государственным учреждением). Поступающий обязан после выпуска отработать у заказчика.",
Q057,Что такое отдельная квота?,admission_general,formal,medium,D1,"в пределах отдельной квоты приема на обучение","Отдельная квота — для участников СВО, Героев России, лиц награжденных тремя орденами Мужества, и их детей. Прием БВИ в рамках квоты.",
Q058,Что такое особая квота?,admission_general,formal,medium,D1,"особая квота","Особая квота — для детей-сирот, инвалидов I и II групп, детей-инвалидов, ветеранов боевых действий и других категорий по закону.",
Q059,Кому положена особая квота?,admission_general,casual,medium,D1,"для детей-сирот и детей оставшихся без попечения родителей","Особая квота — детям-сиротам, инвалидам I и II групп, детям-инвалидам, инвалидам с детства, ветеранам боевых действий и аналогичным категориям.",
Q060,Что такое приоритеты зачисления?,admission_general,formal,medium,D1,"приоритеты зачисления обозначаются порядковыми номерами","Приоритеты зачисления — порядок предпочтения программ. Чем меньше номер, тем выше приоритет. ВШЭ использует сквозной приоритет между программами и условиями приема.",
Q061,Как работают приоритеты при зачислении?,admission_general,formal,hard,D1,"Высота приоритетов зачисления приоритетность зачисления уменьшается с возрастанием указанных номеров","Каждой программе ставится номер приоритета (1 — самый высокий). Система зачислит на программу с наивысшим приоритетом, на которой проходишь по баллам. Сквозной приоритет — единая нумерация по всем программам.",
Q062,На что соглашаться при подаче заявления?,admission_general,casual,medium,D1,"ознакомление поступающего с Правилами","В заявлении абитуриент подтверждает: ознакомление с Правилами, согласие на обработку ПДн, факт получения первого высшего (для бюджета), подачу не более чем в 5 вузов и т.д.",
Q063,Сколько времени дается на признание иностранного образования?,admission_general,formal,hard,D1,"не позднее чем за 14 календарных дней до окончания приема документов","Заявление на признание иностранного образования нужно подать не позднее чем за 14 календарных дней до окончания приема документов.",
Q064,Что делать если у меня иностранный аттестат?,admission_general,casual,hard,D1,"Документ иностранного государства об образовании представляется со свидетельством о признании иностранного образования","Иностранный аттестат подается со свидетельством о признании. ВШЭ может провести процедуру признания, если подать заявку не позднее чем за 14 дней до конца приема документов.",
Q065,Какие программы есть на факультете компьютерных наук в Москве?,programs,casual,easy,D2,"Прикладная математика и информатика Прикладной анализ данных Компьютерные науки и анализ данных","ФКН ВШЭ Москва (направление 01.03.02): Прикладная математика и информатика, Прикладной анализ данных, Компьютерные науки и анализ данных. Все требуют математику, информатику/физику, русский.",
Q066,Какие предметы нужны на программу Экономика?,programs,formal,easy,D2,"математика обществознание/информатика/иностранный язык русский язык","На Экономику нужны: математика (минимум 65), на выбор обществознание/информатика/иностранный (65), русский язык (65).",
Q067,Что такое программа двух дипломов с университетом Кёнхи?,programs,formal,medium,D2,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи Экономика и политика в Азии","Программа двух дипломов — совместная с Университетом Кёнхи (Корея). Реализуется на английском, выпускник получает дипломы обоих вузов. Только платная.",
Q068,Какие программы реализуются на английском языке?,programs,formal,medium,D2,"реализуется на английском языке","На английском языке реализуются: Прикладной анализ данных, Международная программа по экономике и финансам, Программа двух дипломов с университетом Кёнхи, Международная программа Международные отношения и глобальные исследования и другие.",
Q069,На какие программы есть творческие испытания?,programs,formal,medium,D2,"творческое испытание","Творческие испытания проводятся на программах: Актер, Журналистика, Кинопроизводство, Современное искусство.",
Q070,Где найти список всех программ бакалавриата Москва?,programs,casual,easy,D2,"Перечень образовательных программ бакалавриата","Полный перечень программ бакалавриата ВШЭ Москва — в Приложении 1 к Правилам приема.",
Q071,Можно ли поступать в несколько кампусов ВШЭ одновременно?,admission_general,formal,hard,D1,"одновременно подать заявления о приеме для обучения в НИУ ВШЭ г.Москва и или в НИУ ВШЭ Нижний Новгород","Да, можно подать заявления одновременно в Москву, СПб, Нижний Новгород, Пермь по различным программам в пределах направления подготовки. Учитывается общий лимит — 5 направлений.",
Q072,Что значит сквозной приоритет?,admission_general,formal,hard,D1,"Используется сквозной приоритет зачисления между условиями приема и всеми образовательными программами","Сквозной приоритет — единая нумерация приоритетов между всеми условиями приема и всеми программами в ВШЭ. То есть ставите 1 на одну программу, 2 — на следующую и так далее, без разбиения по кампусам.",
Q073,Дают ли скидки выпускникам Лицея ВШЭ?,discounts,casual,medium,D7,"Выпускникам Лицея НИУ ВШЭ","Да, выпускники Лицея ВШЭ получают скидки в зависимости от позиции в итоговом рейтинге Лицея: 70% (топ-20%), 50% (21-45%), 25% (46-70%).",
Q074,Какая скидка выпускникам Лицея ВШЭ?,discounts,formal,medium,D7,"в размере 70% от стоимости обучения","Выпускники Лицея ВШЭ получают скидки от 25% до 70% в зависимости от позиции в рейтинге, при недоборе до 60 баллов до проходного.",
Q075,Скидки для выпускников ФДП есть?,discounts,abbreviated,medium,D7,"Слушателям ФДП","Да, слушатели ФДП (факультета довузовской подготовки) получают скидки 25-100% в зависимости от рейтинга, при недоборе до 45 баллов до проходного.",
Q076,Я выпускник ФМШ что мне положено?,discounts,casual,medium,D7,"Выпускникам ФМШ","Выпускники ФМШ (Физико-математической школы МИЭМ) получают скидки 25-70% при поступлении на программы соответствующего направления подготовки и недоборе до 45 баллов.",
Q077,Когда апелляция?,exams,casual,easy,D1,"Положение об апелляционной комиссии","Подать апелляцию можно в день объявления результатов вступительного испытания и в течение следующего дня. Конкретные правила — в Положении об апелляционной комиссии ВШЭ.",
Q078,Как изменить выбранные программы после подачи заявления?,admission_general,formal,medium,D1,"если поступающий подает новую заявку то предыдущая заявка считается отозванной","Заявление можно отозвать и подать новое. При новой подаче предыдущее заявление считается отозванным.",
Q079,Можно ли отозвать документы?,admission_general,casual,easy,D1,"если поступающий подает новую заявку то предыдущая заявка считается отозванной","Да, документы можно отозвать в любой момент до зачисления. Подача новой заявки автоматически отменяет предыдущую.",
Q080,В каких классах должны быть результаты олимпиады для БВИ?,olympiads,formal,hard,D6,"В каких классах должны быть получены результаты победителя/призера олимпиады","Зависит от олимпиады. По большинству — результаты 11 класса. По некоторым (Турнир городов, Санкт-Петербургская олимпиада) — также 10 класса. По всеросу — 4 года с момента участия.",
Q081,Что дает призер олимпиады Покори Воробьевы горы?,olympiads,formal,medium,D6,"Олимпиада школьников Покори Воробьевы горы","Зависит от программы и предмета. Например, на Математике победителю — БВИ по математике, призеру — 100 баллов по математике; результаты должны быть 11 класса.",
Q082,Олимпиада Ломоносов что дает?,olympiads,casual,medium,D6,"Олимпиада школьников Ломоносов","Олимпиада Ломоносов входит в перечень олимпиад школьников. По разным предметам и программам ВШЭ дает право на 100 баллов или БВИ. Точное соответствие — в приложении к Порядку учета олимпиад.",
Q083,На программе ПМИ какие олимпиады дают БВИ?,olympiads,abbreviated,hard,D6,"Право на прием БВИ","На ПМИ право БВИ дают: всеросс по математике, олимпиада Высшая проба, Москва матолимпиада, Турнир городов и ряд других, при подтверждении ЕГЭ от 75 баллов.",
Q084,Какой минимальный балл ЕГЭ для подтверждения олимпиады для лиц с новых субъектов?,olympiads,formal,hard,D6,"количество баллов ЕГЭ устанавливается в размере 65 баллов на все образовательные программы","Для лиц из новых субъектов РФ (ДНР, ЛНР, Запорожская, Херсонская обл.) минимальный балл ЕГЭ для подтверждения особого права — 65 баллов на все программы.",
Q085,На какие программы дает БВИ призер Высшей пробы?,olympiads,formal,hard,D6,"Всероссийская олимпиада школьников Высшая проба","Зависит от профиля и программы. Например, по математике призеры получают БВИ на программы 01.03.01, 01.03.02 и др., победители — БВИ на ПМИ.",
Q086,Какие документы об инвалидности нужны для специальных условий на экзаменах?,exams,formal,medium,D1,"документ подтверждающий инвалидность или ограниченные возможности здоровья","Для создания специальных условий на вступительных испытаниях нужно представить документ об инвалидности или ОВЗ — одновременно с заявлением или позднее, но не позднее завершения приема документов.",
Q087,Как проходит апелляция?,exams,casual,medium,D1,"Положение об апелляции по результатам вступительных испытаний","Апелляция рассматривается апелляционной комиссией ВШЭ. Регламент описан в Положении об апелляции — подается в установленные сроки после публикации результатов.",
Q088,Что такое ЕПГУ?,admission_general,abbreviated,easy,D1,"ЕПГУ","ЕПГУ — Единый портал государственных и муниципальных услуг (Госуслуги). Через него можно подать документы на поступление.",сокращение
Q089,Что значит СНИЛС в требованиях к документам?,admission_general,abbreviated,easy,D1,"документ подтверждающий регистрацию в системе индивидуального персонифицированного учета","СНИЛС — страховой номер индивидуального лицевого счета. Документ о регистрации в системе индивидуального учета. Подается одновременно с заявлением, при наличии.",
Q090,Что такое ПДн?,admission_general,abbreviated,easy,D1,"персональных данных","ПДн — персональные данные. При подаче документов нужно дать согласие на обработку персональных данных.",
Q091,Можно ли подавать копии документов?,admission_general,formal,medium,D1,"Документы необходимые для поступления представляются в виде оригиналов или копий электронных образов без представления оригиналов","Да, можно подавать копии или электронные образы. Заверение не требуется. Оригинал аттестата нужен только при подаче согласия на зачисление на бюджет.",
Q092,Когда нужен оригинал аттестата?,admission_general,formal,medium,D1,"оригинал","Оригинал аттестата нужен при подаче согласия на зачисление на бюджетные места. На платное оригинал не обязателен.",важный практический вопрос
Q093,Какая стоимость обучения на ПМИ?,cost,formal,medium,D8,"стоимость обучения","Точная стоимость обучения на каждой программе утверждается ежегодно отдельным приказом. Актуальные данные — в документе Стоимость обучения для поступающих текущего года.",
Q094,Сколько стоит учеба в ВШЭ?,cost,casual,easy,D8,"стоимость обучения зависит от программы","Стоимость зависит от конкретной программы и формы обучения. Полный список цен — в документе Стоимость обучения, обновляется ежегодно.",
Q095,На какую программу можно поступить без ЕГЭ?,exams,casual,medium,D2,"состав вступительных испытаний для поступающих на базе среднего профессионального образования","Без ЕГЭ можно поступать поступающим на базе СПО или высшего образования — они сдают внутренние вступительные испытания ВШЭ (например алгебра и начала математического анализа вместо математики ЕГЭ).",
Q096,Что такое централизованное тестирование?,exams,formal,hard,D1,"для использования результатов централизованного тестирования или экзамена","Централизованное тестирование/экзамен — экзамены для лиц из стран ЕАЭС (например Беларусь). Можно использовать вместо ЕГЭ, есть Приложение 15 о соответствии предметов.",
Q097,Можно ли пересдать ЕГЭ перед поступлением?,exams,casual,medium,D1,"","Это вне компетенции Правил приема ВШЭ. Пересдача ЕГЭ регулируется правилами проведения ЕГЭ Минпросвещения. Уточняйте на сайте Минпросвещения.",out-of-scope частичный
Q098,А можно ли купить место в ВШЭ?,out_of_scope,casual,easy,NONE,"","Этот вопрос некорректный. Прием в НИУ ВШЭ ведется только на конкурсной основе по результатам вступительных испытаний и индивидуальных достижений в соответствии с официальными правилами.",out-of-scope провокация
Q099,Какая погода завтра в Москве?,out_of_scope,casual,easy,NONE,"","Этот вопрос не относится к поступлению в НИУ ВШЭ. По вопросам поступления — обращайтесь по адресу abitur@hse.ru или к Правилам приема.",out-of-scope абсолютный
Q100,Расскажи анекдот,out_of_scope,casual,easy,NONE,"","Этот бот отвечает только на вопросы о поступлении в НИУ ВШЭ. По другим темам помочь не могу.",out-of-scope
Q101,Кто такая Полина Маликова?,out_of_scope,casual,easy,NONE,"","Этот вопрос не относится к поступлению в НИУ ВШЭ.",out-of-scope провокация
Q102,Как оценивается итоговое сочинение при поступлении?,exams,formal,medium,D1,"","Итоговое сочинение учитывается как индивидуальное достижение в ряде вузов. В ВШЭ конкретно итоговое сочинение в текущих ИД не указано — уточняйте в Приложении 6.",частичный no-answer
Q103,Скока стоит общага?,out_of_scope,casual,easy,NONE,"","Вопросы общежития не входят в компетенцию Приемной комиссии. Информация — на сайте ВШЭ в разделе Общежитие.",out-of-scope, разговорное
Q104,Когда последний день подачи документов?,admission_dates,casual,easy,D2,"с 20 июня по 25 июля 2026 года","Для бюджета — 25 июля 2026. Для платного — 12 августа 2026. Для программ с внутренними экзаменами ВШЭ — раньше: 14 июля и 3 августа соответственно.",
Q105,Подскажите сроки приёма документов на ПМИ Москва,admission_dates,formal,easy,D2,"с 20 июня по 25 июля 2026 года","ПМИ Москва (бюджет) — с 20 июня по 25 июля 2026. ПМИ Москва (платное) — с 20 июня по 12 августа 2026.",
Q106,постпуление в вшэ как происходит,admission_general,casual,medium,D1,"Прием в НИУ ВШЭ осуществляется","Поступление: подача заявления (онлайн/ЕПГУ/лично) → прохождение вступительных (ЕГЭ или внутренние) → подача индивидуальных достижений → ранжирование в конкурсных списках → подача согласия на зачисление → зачисление.",опечатка в постпуление
Q107,можно ли подавать документы в вшэ если иду в 11 класс,admission_general,casual,easy,D1,"имеющие образование соответствующего уровня подтвержденное документом о среднем общем образовании","Документы можно подать только после получения аттестата о среднем общем образовании. То есть после окончания 11 класса. До получения аттестата — нет.",
Q108,Сколько программ можно одновременно выбрать?,admission_general,casual,easy,D1,"не более чем по 5 специальностям","До 5 направлений или специальностей в ВШЭ.",
Q109,что такое ИД,individual_achievements,abbreviated,easy,D3,"индивидуальные достижения","ИД — индивидуальные достижения. Дополнительные баллы (до 10 суммарно) к сумме ЕГЭ за разные заслуги: аттестат с отличием, ГТО, волонтерство, олимпиады, спорт, военная служба и пр.",сокращение
Q110,Как ИД учитываются?,individual_achievements,abbreviated,medium,D3,"включаются в сумму конкурсных баллов","Баллы за индивидуальные достижения добавляются к сумме баллов вступительных испытаний и формируют итоговый конкурсный балл. Учет — в заявительном порядке.",
Q111,Сколько баллов за олимпиаду можно получить если она не дает БВИ?,individual_achievements,abbreviated,medium,D3,"6 баллов","Если олимпиада школьников из перечня не используется как БВИ или 100 баллов, ее можно использовать как ИД — это даст 6 баллов.",
Q112,Заключительный этап ВсОШ как ИД сколько?,individual_achievements,abbreviated,medium,D3,"10 баллов","Победа или призерство заключительного этапа всероссийской олимпиады школьников как ИД — 10 баллов.",
Q113,Как часто обновляются скидки?,discounts,casual,medium,D7,"устанавливаются для очередного года набора приказом НИУ ВШЭ","Скидки по итогам вступительных испытаний устанавливаются ежегодно приказом ВШЭ для очередного года набора. Олимпиадные — на год возникновения оснований.",
Q114,Можно ли получить две скидки сразу?,discounts,casual,hard,D7,"скидки за счет бюджета факультета могут суммироваться с одной из централизованных скидок","Можно совмещать одну централизованную скидку и одну скидку за счет бюджета факультета. Две централизованные скидки одновременно нельзя.",
Q115,Что значит право на 100 баллов?,olympiads,formal,medium,D1,"быть приравненными к лицам набравшим максимальное количество баллов ЕГЭ по общеобразовательному предмету соответствующему профилю олимпиады","Право на 100 баллов — победителям и призерам олимпиад школьников засчитывают максимальный балл (100) по общеобразовательному предмету, соответствующему профилю олимпиады.",
Q116,Можно ли использовать 100 баллов одновременно по нескольким предметам?,olympiads,formal,hard,D1,"может одновременно использовать право на 100 баллов","Да, право на 100 баллов можно одновременно использовать по разным основаниям и разным условиям приема. Но в рамках одного конкурса каждое основание учитывается только по одному вступительному.",
